city,status,objective,runtime_seconds,n_units,horizon,initial_mean_b,final_weighted_b,final_weighted_ell,total_intervention_cost,total_budget,mean_period_budget,total_u_C,total_e_C,total_cost_C,cap_utilization_C,total_u_R,total_e_R,total_cost_R,cap_utilization_R,total_u_S,total_e_S,total_cost_S,cap_utilization_S,baseline_objective,recoverable_fraction,scenario_type,event_id,event_start,event_end,event_total_precip,event_peak_precip,event_peak_positive_abnormal_deficit,city_signal_b0,city_signal_h_total,city_signal_h_peak,dynamic_a_retention,dynamic_rain_kernel_sum,h_observed_innovation_steps,h_rain_kernel_fallback_steps,h_signal_source,scenario,optimized_objective,weighted_b0,weighted_h_total,weighted_h_peak,budget_intensity,error,q_nnz,q_density,mean_a_retention,total_disturbance,pwl_enabled,demand_available,od_available,od_rows,od_total_volume,origin_zone_count,destination_zone_count,od_density_observed,within_zone_volume_share,top10_destination_volume_share,destination_volume_hhi,origin_volume_hhi,destination_volume_gini,link_performance_available,link_performance_rows,link_count_observed,link_total_vehicle_volume,volume_weighted_speed_kmph,congested_volume_share_speed_ratio_lt_0_8,doc_over_1_volume_share,top10_link_volume_share,link_volume_hhi,total_vmt,total_vht,speed_available,speed_file,speed_file_size_gb,scanned_valid_rows,sampled_distribution_rows,sampled_unique_tmc,sample_start,sample_end,mean_speed_ratio,median_speed_ratio,mean_deficit,median_deficit,p90_deficit,p95_deficit,severe_deficit_share_20pct,severe_deficit_share_40pct,hourly_observations,tmc_concentration_available,tmc_count,total_speed_deficit_burden,tmc_deficit_gini,top_1pct_tmc_deficit_share,top_5pct_tmc_deficit_share,top_10pct_tmc_deficit_share,tmc_mean_deficit_p90,high_deficit_tmc_share_mean_gt_0_2,rainfall_available,rainfall_hours,rainy_hour_count,rainy_hour_share,positive_rain_event_count,positive_precip_p75,positive_precip_p90,max_hourly_precip,speed_overlap_start,speed_overlap_end,rain_events_in_speed_overlap,events_with_impact_window,events_with_positive_speed_impact,mean_peak_positive_abnormal_deficit,median_peak_positive_abnormal_deficit,max_peak_positive_abnormal_deficit,mean_affected_hours,median_recovery_hours_after_peak,worst_event_start,worst_event_total_precip,worst_event_peak_positive_abnormal_deficit,fit_status,n_hourly_rows,n_train_rows,n_test_rows,rain_lag_hours,a_retention,natural_half_life_hours,rain_kernel_sum,rain_kernel_peak_lag_h,rain_exposure_row_share,positive_target_row_share,train_rmse,train_mae,train_r2,test_rmse,test_mae,test_r2,test_corr,solver_cost,solver_optimality,rain_beta_lag_0h,rain_beta_lag_1h,rain_beta_lag_2h,rain_beta_lag_3h,rain_beta_lag_4h,rain_beta_lag_5h,rain_beta_lag_6h,od_sparsity,log_n_units,log_od_rows,rain_intensity,recoverable_percent
Austin,OPTIMAL,0.1197952744164587,5.730999946594238,207.0,12.0,0.0262351176731196,0.0013699330621813,0.0010509671551465,1.4591431527365546,1.4591431527365544,0.4085600827662353,1.1535304706645269,0.3336475477834978,1.049782516653103,0.0344971349289492,0.050254049662747,0.0102307648022928,0.0737901163654558,0.0006440924904752,0.5063919249444042,0.1774073512639219,0.335570519717996,0.0324514380714448,0.134268532791844,0.1077933755172789,observed_rainfall_event,478,2024-07-06 17:00:00,2024-07-06 22:00:00,1.27165423,1.01574858,0.0262351176731197,0.0262351176731197,0.0055543266008075,0.0055543266008075,0.7540815049632587,0.0004088333920429,12.0,0.0,observed_innovation,base,0.1197952744164587,0.0262351176731196,0.0055543266008075,0.0055543266008075,0.18,,38249,0.8926462694578636,0.7606880839803384,1.1330885753276978,True,True,True,38249,337604.4468425681,207,207,0.8926462694578636,0.098237887349848,0.1352355324039429,0.0068816044317246,0.0061510867682062,0.3443805799328945,True,121592,121588,20690011.694,44.37411923008718,0.4185545535245554,0.2555473909438767,0.0028776781067091,5.842385158843952e-05,2267252.357,79704.514,True,Austin_2024.csv,1.133,18734381.0,500000.0,4200.0,2024-07-01 00:00:00,2024-07-31 23:50:00,1.0163181194433075,1.0,0.0567318929078411,0.0,0.2070982078853052,0.3199999999999999,0.1021699622741738,0.0284526080685558,744.0,True,4200.0,1062836.8965866943,0.5613203291033382,0.064814281869211,0.2431732780238968,0.3989836255632581,0.1496519981630494,0.0564285714285714,True,35055,1363,0.038881757238625,534,0.05511814,0.159448905,1.753937955,2024-07-01 00:00:00,2024-07-31 23:00:00,15,15,15,0.0200376036646373,0.018057662154591,0.0429704583315743,4.6,2.0,2024-07-18 08:00:00,0.5137798050000001,0.0429704583315743,estimated,743,520,223,6,0.7540815049632587,2.4557496677723614,0.0004088333920429,6,0.1426648721399731,0.4670255720053836,0.003193323502108,0.0013953264974637,0.5631170418918088,0.0040083262562595,0.0017398906136689,0.4843873946626995,0.7063325854270582,0.0136885235032427,1.3843688829251618e-11,1.980383109479699e-27,2.466783291719984e-31,1.7239637008910874e-30,5.763119115097399e-19,1.0227451013705703e-09,0.000123065126853,0.0002857672424447,0.10735373054213637,5.337538079701318,10.551898839254681,1.5214989319075214,10.77933755172789
Austin,OPTIMAL,0.1357404480270222,1.4249999523162842,207.0,12.0,0.015100447922975,0.0110092539848033,0.0106592962148537,2.026517435675724,2.0265174356757227,0.5674248819892024,1.6209458756776534,0.4706582922565189,1.480865285559145,0.0349035842507628,0.059276482994148,0.0121176379209747,0.0875018165392414,0.0005470249763213,0.6914377366617724,0.2412152440358793,0.4581503335773375,0.0319041964384463,0.1559423618937761,0.1295473123622105,observed_rainfall_event,479,2024-07-12 13:00:00,2024-07-12 13:00:00,0.01574804,0.01574804,0.0252175383196645,0.0151004479229751,0.0290500269435485,0.0138305698242881,0.7540815049632587,0.0004088333920429,12.0,0.0,observed_innovation,base,0.1357404480270222,0.0151004479229751,0.0290500269435485,0.0138305698242881,0.18,,38249,0.8926462694578636,0.7606880839803384,5.926236609476864,True,True,True,38249,337604.4468425681,207,207,0.8926462694578636,0.098237887349848,0.1352355324039429,0.0068816044317246,0.0061510867682062,0.3443805799328945,True,121592,121588,20690011.694,44.37411923008718,0.4185545535245554,0.2555473909438767,0.0028776781067091,5.842385158843952e-05,2267252.357,79704.514,True,Austin_2024.csv,1.133,18734381.0,500000.0,4200.0,2024-07-01 00:00:00,2024-07-31 23:50:00,1.0163181194433075,1.0,0.0567318929078411,0.0,0.2070982078853052,0.3199999999999999,0.1021699622741738,0.0284526080685558,744.0,True,4200.0,1062836.8965866943,0.5613203291033382,0.064814281869211,0.2431732780238968,0.3989836255632581,0.1496519981630494,0.0564285714285714,True,35055,1363,0.038881757238625,534,0.05511814,0.159448905,1.753937955,2024-07-01 00:00:00,2024-07-31 23:00:00,15,15,15,0.0200376036646373,0.018057662154591,0.0429704583315743,4.6,2.0,2024-07-18 08:00:00,0.5137798050000001,0.0429704583315743,estimated,743,520,223,6,0.7540815049632587,2.4557496677723614,0.0004088333920429,6,0.1426648721399731,0.4670255720053836,0.003193323502108,0.0013953264974637,0.5631170418918088,0.0040083262562595,0.0017398906136689,0.4843873946626995,0.7063325854270582,0.0136885235032427,1.3843688829251618e-11,1.980383109479699e-27,2.466783291719984e-31,1.7239637008910874e-30,5.763119115097399e-19,1.0227451013705703e-09,0.000123065126853,0.0002857672424447,0.10735373054213637,5.337538079701318,10.551898839254681,0.03125065255034766,12.95473123622105
Austin,OPTIMAL,0.1024962321722215,1.437000036239624,207.0,12.0,0.016434209202035,0.006272444982186,0.005988194249762,1.452910911991229,1.4529109119912302,0.4068150553575445,1.1083844684931412,0.3233667943862334,1.013533455735233,0.0332891958199363,0.0797067876226837,0.0161705304578331,0.1165159723593735,0.0010259622786036,0.487354330184882,0.1698159174009041,0.3228614838966226,0.0313654065103445,0.1171135871786669,0.1248134854254385,observed_rainfall_event,480,2024-07-12 15:00:00,2024-07-12 16:00:00,0.05118113,0.045275615,0.0164342092020351,0.0164342092020351,0.0152194571192603,0.0050970905195726,0.7540815049632587,0.0004088333920429,12.0,0.0,observed_innovation,base,0.1024962321722215,0.0164342092020351,0.0152194571192603,0.0050970905195726,0.18,,38249,0.8926462694578636,0.7606880839803384,3.104785552584647,True,True,True,38249,337604.4468425681,207,207,0.8926462694578636,0.098237887349848,0.1352355324039429,0.0068816044317246,0.0061510867682062,0.3443805799328945,True,121592,121588,20690011.694,44.37411923008718,0.4185545535245554,0.2555473909438767,0.0028776781067091,5.842385158843952e-05,2267252.357,79704.514,True,Austin_2024.csv,1.133,18734381.0,500000.0,4200.0,2024-07-01 00:00:00,2024-07-31 23:50:00,1.0163181194433075,1.0,0.0567318929078411,0.0,0.2070982078853052,0.3199999999999999,0.1021699622741738,0.0284526080685558,744.0,True,4200.0,1062836.8965866943,0.5613203291033382,0.064814281869211,0.2431732780238968,0.3989836255632581,0.1496519981630494,0.0564285714285714,True,35055,1363,0.038881757238625,534,0.05511814,0.159448905,1.753937955,2024-07-01 00:00:00,2024-07-31 23:00:00,15,15,15,0.0200376036646373,0.018057662154591,0.0429704583315743,4.6,2.0,2024-07-18 08:00:00,0.5137798050000001,0.0429704583315743,estimated,743,520,223,6,0.7540815049632587,2.4557496677723614,0.0004088333920429,6,0.1426648721399731,0.4670255720053836,0.003193323502108,0.0013953264974637,0.5631170418918088,0.0040083262562595,0.0017398906136689,0.4843873946626995,0.7063325854270582,0.0136885235032427,1.3843688829251618e-11,1.980383109479699e-27,2.466783291719984e-31,1.7239637008910874e-30,5.763119115097399e-19,1.0227451013705703e-09,0.000123065126853,0.0002857672424447,0.10735373054213637,5.337538079701318,10.551898839254681,0.09419501472713461,12.48134854254385
Austin,OPTIMAL,0.0404420913019455,3.995000123977661,207.0,12.0,0.0039730693560232,0.0037193806264273,0.0036721561052229,0.6243899333485639,0.6243899333485636,0.1748291813375978,0.4895922332343014,0.1434561888977857,0.4480657630318398,0.0228942507765041,0.0121739130434782,0.0025199999999999,0.0182608695652173,0.0002439749996273,0.2391498784977066,0.0847588704412731,0.1580633007515065,0.023963778658915,0.0469545866670323,0.1386977466390809,observed_rainfall_event,481,2024-07-13 14:00:00,2024-07-13 16:00:00,0.02755907,0.01574804,0.0057914245983745,0.0039730693560233,0.009630125748007,0.0039588624366233,0.7540815049632587,0.0004088333920429,12.0,0.0,observed_innovation,base,0.0404420913019455,0.0039730693560233,0.009630125748007,0.0039588624366233,0.18,,38249,0.8926462694578636,0.7606880839803384,1.9645559665953904,True,True,True,38249,337604.4468425681,207,207,0.8926462694578636,0.098237887349848,0.1352355324039429,0.0068816044317246,0.0061510867682062,0.3443805799328945,True,121592,121588,20690011.694,44.37411923008718,0.4185545535245554,0.2555473909438767,0.0028776781067091,5.842385158843952e-05,2267252.357,79704.514,True,Austin_2024.csv,1.133,18734381.0,500000.0,4200.0,2024-07-01 00:00:00,2024-07-31 23:50:00,1.0163181194433075,1.0,0.0567318929078411,0.0,0.2070982078853052,0.3199999999999999,0.1021699622741738,0.0284526080685558,744.0,True,4200.0,1062836.8965866943,0.5613203291033382,0.064814281869211,0.2431732780238968,0.3989836255632581,0.1496519981630494,0.0564285714285714,True,35055,1363,0.038881757238625,534,0.05511814,0.159448905,1.753937955,2024-07-01 00:00:00,2024-07-31 23:00:00,15,15,15,0.0200376036646373,0.018057662154591,0.0429704583315743,4.6,2.0,2024-07-18 08:00:00,0.5137798050000001,0.0429704583315743,estimated,743,520,223,6,0.7540815049632587,2.4557496677723614,0.0004088333920429,6,0.1426648721399731,0.4670255720053836,0.003193323502108,0.0013953264974637,0.5631170418918088,0.0040083262562595,0.0017398906136689,0.4843873946626995,0.7063325854270582,0.0136885235032427,1.3843688829251618e-11,1.980383109479699e-27,2.466783291719984e-31,1.7239637008910874e-30,5.763119115097399e-19,1.0227451013705703e-09,0.000123065126853,0.0002857672424447,0.10735373054213637,5.337538079701318,10.551898839254681,0.04281148106208917,13.86977466390809
Austin,OPTIMAL,0.1689173774384391,1.9849998950958248,207.0,12.0,0.0429704583315742,0.0034842152480567,0.0029821096698329,2.117400717028276,2.1174007170282727,0.5928722007679166,1.718589495192037,0.497482812411018,1.565551848362313,0.0354177489259301,0.0398550293674264,0.0082363475904047,0.0596562154525052,0.0003520101208046,0.7428788047299145,0.2608445931710058,0.4921926532134575,0.0328065067253378,0.1898500667669339,0.1102590569756946,observed_rainfall_event,482,2024-07-18 08:00:00,2024-07-18 11:00:00,0.5137798050000001,0.3956695050000001,0.0429704583315743,0.0429704583315743,0.0031600340558965,0.0031600340558965,0.7540815049632587,0.0004088333920429,12.0,0.0,observed_innovation,base,0.1689173774384391,0.0429704583315743,0.0031600340558965,0.0031600340558965,0.18,,38249,0.8926462694578636,0.7606880839803384,0.6446503318444067,True,True,True,38249,337604.4468425681,207,207,0.8926462694578636,0.098237887349848,0.1352355324039429,0.0068816044317246,0.0061510867682062,0.3443805799328945,True,121592,121588,20690011.694,44.37411923008718,0.4185545535245554,0.2555473909438767,0.0028776781067091,5.842385158843952e-05,2267252.357,79704.514,True,Austin_2024.csv,1.133,18734381.0,500000.0,4200.0,2024-07-01 00:00:00,2024-07-31 23:50:00,1.0163181194433075,1.0,0.0567318929078411,0.0,0.2070982078853052,0.3199999999999999,0.1021699622741738,0.0284526080685558,744.0,True,4200.0,1062836.8965866943,0.5613203291033382,0.064814281869211,0.2431732780238968,0.3989836255632581,0.1496519981630494,0.0564285714285714,True,35055,1363,0.038881757238625,534,0.05511814,0.159448905,1.753937955,2024-07-01 00:00:00,2024-07-31 23:00:00,15,15,15,0.0200376036646373,0.018057662154591,0.0429704583315743,4.6,2.0,2024-07-18 08:00:00,0.5137798050000001,0.0429704583315743,estimated,743,520,223,6,0.7540815049632587,2.4557496677723614,0.0004088333920429,6,0.1426648721399731,0.4670255720053836,0.003193323502108,0.0013953264974637,0.5631170418918088,0.0040083262562595,0.0017398906136689,0.4843873946626995,0.7063325854270582,0.0136885235032427,1.3843688829251618e-11,1.980383109479699e-27,2.466783291719984e-31,1.7239637008910874e-30,5.763119115097399e-19,1.0227451013705703e-09,0.000123065126853,0.0002857672424447,0.10735373054213637,5.337538079701318,10.551898839254681,0.7479839372466199,11.02590569756946
Austin,OPTIMAL,0.0830442452397397,5.66100001335144,207.0,12.0,0.0216451974053969,0.0014200341618899,0.0012024537269939,1.0290555435256374,1.0290555435256374,0.2881355521871785,0.8279749996183933,0.2390516587124382,0.7531266243334102,0.0351099543640523,0.0229175066241646,0.0047088650989953,0.0340516416750731,0.0004164890824428,0.3652965468640762,0.1282180172904457,0.2418772775171541,0.0331934067082463,0.0931886024674128,0.1088583470411042,observed_rainfall_event,483,2024-07-21 17:00:00,2024-07-21 19:00:00,0.29133874,0.24015761,0.021645197405397,0.021645197405397,0.0007741956434154,0.0007741956434154,0.7540815049632587,0.0004088333920429,12.0,0.0,observed_innovation,base,0.0830442452397397,0.0216451974053969,0.0007741956434154,0.0007741956434154,0.18,,38249,0.8926462694578636,0.7606880839803384,0.157936740431312,True,True,True,38249,337604.4468425681,207,207,0.8926462694578636,0.098237887349848,0.1352355324039429,0.0068816044317246,0.0061510867682062,0.3443805799328945,True,121592,121588,20690011.694,44.37411923008718,0.4185545535245554,0.2555473909438767,0.0028776781067091,5.842385158843952e-05,2267252.357,79704.514,True,Austin_2024.csv,1.133,18734381.0,500000.0,4200.0,2024-07-01 00:00:00,2024-07-31 23:50:00,1.0163181194433075,1.0,0.0567318929078411,0.0,0.2070982078853052,0.3199999999999999,0.1021699622741738,0.0284526080685558,744.0,True,4200.0,1062836.8965866943,0.5613203291033382,0.064814281869211,0.2431732780238968,0.3989836255632581,0.1496519981630494,0.0564285714285714,True,35055,1363,0.038881757238625,534,0.05511814,0.159448905,1.753937955,2024-07-01 00:00:00,2024-07-31 23:00:00,15,15,15,0.0200376036646373,0.018057662154591,0.0429704583315743,4.6,2.0,2024-07-18 08:00:00,0.5137798050000001,0.0429704583315743,estimated,743,520,223,6,0.7540815049632587,2.4557496677723614,0.0004088333920429,6,0.1426648721399731,0.4670255720053836,0.003193323502108,0.0013953264974637,0.5631170418918088,0.0040083262562595,0.0017398906136689,0.4843873946626995,0.7063325854270582,0.0136885235032427,1.3843688829251618e-11,1.980383109479699e-27,2.466783291719984e-31,1.7239637008910874e-30,5.763119115097399e-19,1.0227451013705703e-09,0.000123065126853,0.0002857672424447,0.10735373054213637,5.337538079701318,10.551898839254681,0.47091793957338757,10.885834704110419
Austin,OPTIMAL,0.0942400626905269,1.5240001678466797,207.0,12.0,0.0042945493596542,0.0081598981730551,0.007917455801708,1.4296196986655054,1.429619698665506,0.4002935156263418,1.1018210175223468,0.321833513272824,1.0061006149697325,0.0336312017733133,0.0656737210249837,0.0135944602521716,0.0985105815374756,0.0008591048537715,0.4904554166605325,0.1715230476279833,0.3250085021582974,0.0320792413187088,0.1084480966889179,0.1310122946569232,observed_rainfall_event,484,2024-07-22 14:00:00,2024-07-22 14:00:00,0.005905515,0.005905515,0.0170421089920781,0.0042945493596543,0.0268516857841712,0.0099424468772587,0.7540815049632587,0.0004088333920429,12.0,0.0,observed_innovation,base,0.0942400626905269,0.0042945493596542,0.0268516857841712,0.0099424468772587,0.18,,38249,0.8926462694578636,0.7606880839803384,5.477772658509188,True,True,True,38249,337604.4468425681,207,207,0.8926462694578636,0.098237887349848,0.1352355324039429,0.0068816044317246,0.0061510867682062,0.3443805799328945,True,121592,121588,20690011.694,44.37411923008718,0.4185545535245554,0.2555473909438767,0.0028776781067091,5.842385158843952e-05,2267252.357,79704.514,True,Austin_2024.csv,1.133,18734381.0,500000.0,4200.0,2024-07-01 00:00:00,2024-07-31 23:50:00,1.0163181194433075,1.0,0.0567318929078411,0.0,0.2070982078853052,0.3199999999999999,0.1021699622741738,0.0284526080685558,744.0,True,4200.0,1062836.8965866943,0.5613203291033382,0.064814281869211,0.2431732780238968,0.3989836255632581,0.1496519981630494,0.0564285714285714,True,35055,1363,0.038881757238625,534,0.05511814,0.159448905,1.753937955,2024-07-01 00:00:00,2024-07-31 23:00:00,15,15,15,0.0200376036646373,0.018057662154591,0.0429704583315743,4.6,2.0,2024-07-18 08:00:00,0.5137798050000001,0.0429704583315743,estimated,743,520,223,6,0.7540815049632587,2.4557496677723614,0.0004088333920429,6,0.1426648721399731,0.4670255720053836,0.003193323502108,0.0013953264974637,0.5631170418918088,0.0040083262562595,0.0017398906136689,0.4843873946626995,0.7063325854270582,0.0136885235032427,1.3843688829251618e-11,1.980383109479699e-27,2.466783291719984e-31,1.7239637008910874e-30,5.763119115097399e-19,1.0227451013705703e-09,0.000123065126853,0.0002857672424447,0.10735373054213637,5.337538079701318,10.551898839254681,0.01177629159095388,13.10122946569232
Austin,OPTIMAL,0.0860167144833067,5.037999868392944,207.0,12.0,0.017042108992078,0.0291056460487141,0.0293447647835843,2.127726012177664,2.127726012177664,0.595763283409746,1.643968510206126,0.473475178590786,1.4839548200714985,0.0337155034718425,0.0121725482597851,0.0025197174897755,0.0182588223896777,0.0001069894302109,0.9493703050352492,0.3313268489863554,0.6255123697164875,0.0417219902633226,0.1053035212955613,0.1831544337261162,observed_rainfall_event,485,2024-07-22 23:00:00,2024-07-23 01:00:00,0.3543309,0.20078751,0.0305226229217658,0.0170421089920781,0.0293133341784244,0.0264915637630985,0.7540815049632587,0.0004088333920429,12.0,0.0,observed_innovation,base,0.0860167144833067,0.0170421089920781,0.0293133341784243,0.0264915637630984,0.18,,38249,0.8926462694578636,0.7606880839803384,5.97995156739735,True,True,True,38249,337604.4468425681,207,207,0.8926462694578636,0.098237887349848,0.1352355324039429,0.0068816044317246,0.0061510867682062,0.3443805799328945,True,121592,121588,20690011.694,44.37411923008718,0.4185545535245554,0.2555473909438767,0.0028776781067091,5.842385158843952e-05,2267252.357,79704.514,True,Austin_2024.csv,1.133,18734381.0,500000.0,4200.0,2024-07-01 00:00:00,2024-07-31 23:50:00,1.0163181194433075,1.0,0.0567318929078411,0.0,0.2070982078853052,0.3199999999999999,0.1021699622741738,0.0284526080685558,744.0,True,4200.0,1062836.8965866943,0.5613203291033382,0.064814281869211,0.2431732780238968,0.3989836255632581,0.1496519981630494,0.0564285714285714,True,35055,1363,0.038881757238625,534,0.05511814,0.159448905,1.753937955,2024-07-01 00:00:00,2024-07-31 23:00:00,15,15,15,0.0200376036646373,0.018057662154591,0.0429704583315743,4.6,2.0,2024-07-18 08:00:00,0.5137798050000001,0.0429704583315743,estimated,743,520,223,6,0.7540815049632587,2.4557496677723614,0.0004088333920429,6,0.1426648721399731,0.4670255720053836,0.003193323502108,0.0013953264974637,0.5631170418918088,0.0040083262562595,0.0017398906136689,0.4843873946626995,0.7063325854270582,0.0136885235032427,1.3843688829251618e-11,1.980383109479699e-27,2.466783291719984e-31,1.7239637008910874e-30,5.763119115097399e-19,1.0227451013705703e-09,0.000123065126853,0.0002857672424447,0.10735373054213637,5.337538079701318,10.551898839254681,0.48628513151787445,18.31544337261162
Austin,OPTIMAL,0.1547181633022105,5.515000104904175,207.0,12.0,0.0077661322213661,0.0278505419920511,0.0272221222337095,2.883270223303556,2.883270223303553,0.8073156625249952,2.0932113560261487,0.6061008510531127,1.903115688532147,0.0316795929866577,0.1311555636772947,0.0255202495803279,0.196733345515942,0.0008507000219551,1.189358985563018,0.4144551848912645,0.7834211892554663,0.0385720470700145,0.1806597613765799,0.1435936695404734,observed_rainfall_event,486,2024-07-23 03:00:00,2024-07-23 03:00:00,0.005905515,0.005905515,0.0305226229217658,0.0077661322213662,0.055049882724448,0.0264915637630985,0.7540815049632587,0.0004088333920429,12.0,0.0,observed_innovation,base,0.1547181633022105,0.0077661322213661,0.055049882724448,0.0264915637630984,0.18,,38249,0.8926462694578636,0.7606880839803384,11.23023503499655,True,True,True,38249,337604.4468425681,207,207,0.8926462694578636,0.098237887349848,0.1352355324039429,0.0068816044317246,0.0061510867682062,0.3443805799328945,True,121592,121588,20690011.694,44.37411923008718,0.4185545535245554,0.2555473909438767,0.0028776781067091,5.842385158843952e-05,2267252.357,79704.514,True,Austin_2024.csv,1.133,18734381.0,500000.0,4200.0,2024-07-01 00:00:00,2024-07-31 23:50:00,1.0163181194433075,1.0,0.0567318929078411,0.0,0.2070982078853052,0.3199999999999999,0.1021699622741738,0.0284526080685558,744.0,True,4200.0,1062836.8965866943,0.5613203291033382,0.064814281869211,0.2431732780238968,0.3989836255632581,0.1496519981630494,0.0564285714285714,True,35055,1363,0.038881757238625,534,0.05511814,0.159448905,1.753937955,2024-07-01 00:00:00,2024-07-31 23:00:00,15,15,15,0.0200376036646373,0.018057662154591,0.0429704583315743,4.6,2.0,2024-07-18 08:00:00,0.5137798050000001,0.0429704583315743,estimated,743,520,223,6,0.7540815049632587,2.4557496677723614,0.0004088333920429,6,0.1426648721399731,0.4670255720053836,0.003193323502108,0.0013953264974637,0.5631170418918088,0.0040083262562595,0.0017398906136689,0.4843873946626995,0.7063325854270582,0.0136885235032427,1.3843688829251618e-11,1.980383109479699e-27,2.466783291719984e-31,1.7239637008910874e-30,5.763119115097399e-19,1.0227451013705703e-09,0.000123065126853,0.0002857672424447,0.10735373054213637,5.337538079701318,10.551898839254681,0.01177629159095388,14.35936695404734
Austin,OPTIMAL,0.2005184666861236,2.496000051498413,207.0,12.0,0.0282797912480187,0.0031250845255723,0.0025300261198643,2.4793630133072826,2.479363013307284,0.6942216437260395,1.893374795639994,0.5486487949646307,1.7293466339470729,0.0333233251888488,0.131645211613736,0.0252600043925364,0.1920067387587974,0.0009929789026741,0.8422997095990502,0.293566722734042,0.5580096406014127,0.0317666640171636,0.2254069290804967,0.1104156935010856,observed_rainfall_event,487,2024-07-23 11:00:00,2024-07-23 13:00:00,0.4901577450000001,0.4409451200000001,0.0305226229217658,0.0282797912480188,0.0257365485460236,0.0108693616546787,0.7540815049632587,0.0004088333920429,12.0,0.0,observed_innovation,base,0.2005184666861236,0.0282797912480188,0.0257365485460236,0.0108693616546787,0.18,,38249,0.8926462694578636,0.7606880839803384,5.250283467599201,True,True,True,38249,337604.4468425681,207,207,0.8926462694578636,0.098237887349848,0.1352355324039429,0.0068816044317246,0.0061510867682062,0.3443805799328945,True,121592,121588,20690011.694,44.37411923008718,0.4185545535245554,0.2555473909438767,0.0028776781067091,5.842385158843952e-05,2267252.357,79704.514,True,Austin_2024.csv,1.133,18734381.0,500000.0,4200.0,2024-07-01 00:00:00,2024-07-31 23:50:00,1.0163181194433075,1.0,0.0567318929078411,0.0,0.2070982078853052,0.3199999999999999,0.1021699622741738,0.0284526080685558,744.0,True,4200.0,1062836.8965866943,0.5613203291033382,0.064814281869211,0.2431732780238968,0.3989836255632581,0.1496519981630494,0.0564285714285714,True,35055,1363,0.038881757238625,534,0.05511814,0.159448905,1.753937955,2024-07-01 00:00:00,2024-07-31 23:00:00,15,15,15,0.0200376036646373,0.018057662154591,0.0429704583315743,4.6,2.0,2024-07-18 08:00:00,0.5137798050000001,0.0429704583315743,estimated,743,520,223,6,0.7540815049632587,2.4557496677723614,0.0004088333920429,6,0.1426648721399731,0.4670255720053836,0.003193323502108,0.0013953264974637,0.5631170418918088,0.0040083262562595,0.0017398906136689,0.4843873946626995,0.7063325854270582,0.0136885235032427,1.3843688829251618e-11,1.980383109479699e-27,2.466783291719984e-31,1.7239637008910874e-30,5.763119115097399e-19,1.0227451013705703e-09,0.000123065126853,0.0002857672424447,0.10735373054213637,5.337538079701318,10.551898839254681,0.7641812151098617,11.04156935010856
