heuristic,heuristic_label,heuristic_score,city,event_id,event_start,unit,t,intervention,target_value,target_rank_pct,delay_feasible,active_weighted_horizon,active_future_loss_share,law_exposure_term,eta_per_cost,deficit_only_score,deficit_only_rank_pct,exposure_only_score,exposure_only_rank_pct,structure_only_score,structure_only_rank_pct,origin_exposure,destination_importance,od_scarcity,baseline_objective,recoverable_fraction,reason_tags
exposure_only,Highest OD exposure,1,New York,121,2019-06-25 07:00:00,1286,10,C,0.003725667366,0.7947976879,1,1.65,1,0.003819148904,0.3156862745,1,0.9956647399,1,0.9930154143,0.1528350515,0.5317919075,0.001213359003,0.003819148904,0.1528350515,0.5339519264,0.1237967923,below_median_future_horizon;below_median_efficiency;short_remaining_window
exposure_only,Highest OD exposure,1,New York,104,2019-06-11 05:00:00,1286,8,R,0.003728918406,0.7888360017,1,3.638371115,1,0.003819148904,0.138,1,0.996105582,1,0.9937256599,0.1528350515,0.5335352661,0.001213359003,0.003819148904,0.1528350515,0.514244662,0.1487545945,below_median_efficiency;short_remaining_window
exposure_only,Highest OD exposure,1,Chicago,158,2019-07-29 13:00:00,849,11,R,0.003888382535,0.2164828787,1,1,1,0.006803501208,0.138,1,0.994486361,1,0.9915844457,0,0.008995937319,0.006780866894,0.006803501208,0,0.2414585392,0.1252282371,below_median_future_horizon;below_median_efficiency;short_remaining_window
exposure_only,Highest OD exposure,1,New York,107,2019-06-16 03:00:00,1286,9,R,0.003964221516,0.4269087523,1,2.815357804,1,0.003819148904,0.138,1,0.9958100559,1,0.9932495345,0.1528350515,0.5228119181,0.001213359003,0.003819148904,0.1528350515,0.3743013216,0.1341549552,below_median_efficiency;short_remaining_window
exposure_only,Highest OD exposure,1,New York,122,2019-06-29 18:00:00,1166,11,S,0.004002999629,0.5747830526,1,1,1,0.003151545251,0.5296456696,0.8407216495,0.32618683,1,0.9928534967,0,0.006380806534,0.003151545251,0.001977066977,0,0.4169878714,0.10857205,below_median_future_horizon;short_remaining_window
exposure_only,Highest OD exposure,1,New York,103,2019-06-11 01:00:00,1286,9,R,0.004191810477,0.3995121951,1,2.815357804,1,0.003819148904,0.138,1,0.9956097561,1,0.9929268293,0.1528350515,0.5234146341,0.001213359003,0.003819148904,0.1528350515,0.3539791125,0.1360233972,below_median_efficiency;short_remaining_window
exposure_only,Highest OD exposure,1,New York,107,2019-06-16 03:00:00,1166,11,S,0.00445951483,0.6121973929,1,1,1,0.003151545251,0.5296456696,0.8412371134,0.3012104283,1,0.9932495345,0,0.006052141527,0.003151545251,0.001977066977,0,0.3743013216,0.1341549552,below_median_future_horizon;short_remaining_window
exposure_only,Highest OD exposure,1,New York,122,2019-06-29 18:00:00,1286,8,R,0.004598638275,0.7508933129,1,3.638371115,1,0.003819148904,0.138,1,0.9956610516,1,0.9928534967,0.1528350515,0.5296069423,0.001213359003,0.003819148904,0.1528350515,0.4169878714,0.10857205,below_median_efficiency;short_remaining_window
exposure_only,Highest OD exposure,1,New York,103,2019-06-11 01:00:00,1166,11,S,0.004715538956,0.5936585366,1,1,1,0.003151545251,0.5296456696,0.8412371134,0.3146341463,1,0.9929268293,0,0.006341463415,0.003151545251,0.001977066977,0,0.3539791125,0.1360233972,below_median_future_horizon;short_remaining_window
exposure_only,Highest OD exposure,1,New York,122,2019-06-29 18:00:00,1286,10,C,0.004770707744,0.7825421133,1,1.65,1,0.003819148904,0.3156862745,1,0.9956610516,1,0.9928534967,0.1528350515,0.5296069423,0.001213359003,0.003819148904,0.1528350515,0.4169878714,0.10857205,below_median_future_horizon;below_median_efficiency;short_remaining_window
exposure_only,Highest OD exposure,1,New York,107,2019-06-16 03:00:00,1286,8,R,0.00512308206,0.7728119181,1,3.638371115,1,0.003819148904,0.138,1,0.9958100559,1,0.9932495345,0.1528350515,0.5228119181,0.001213359003,0.003819148904,0.1528350515,0.3743013216,0.1341549552,below_median_efficiency;short_remaining_window
exposure_only,Highest OD exposure,1,New York,108,2019-06-16 19:00:00,1286,9,R,0.005287666475,0.4850809889,1,2.815357804,1,0.003819148904,0.138,1,0.9961636829,1,0.9936061381,0.1528350515,0.5264279625,0.001213359003,0.003819148904,0.1528350515,0.2806178036,0.1540652389,below_median_efficiency;short_remaining_window
exposure_only,Highest OD exposure,1,New York,102,2019-06-10 12:00:00,1166,11,S,0.005402360808,0.575,1,1,1,0.003151545251,0.5296456696,0.8402061856,0.3265306122,1,0.9928571429,0,0.00637755102,0.003151545251,0.001977066977,0,0.3089764556,0.1118956433,below_median_future_horizon;short_remaining_window
exposure_only,Highest OD exposure,1,New York,103,2019-06-11 01:00:00,1286,8,R,0.005417202083,0.7619512195,1,3.638371115,1,0.003819148904,0.138,1,0.9956097561,1,0.9929268293,0.1528350515,0.5234146341,0.001213359003,0.003819148904,0.1528350515,0.3539791125,0.1360233972,below_median_efficiency;short_remaining_window
exposure_only,Highest OD exposure,1,New York,111,2019-06-18 23:00:00,1166,11,S,0.005571989361,0.6039084843,1,1,1,0.003151545251,0.5296456696,0.8402061856,0.3050524309,1,0.9933269781,0,0.006196377502,0.003151545251,0.001977066977,0,0.2995702587,0.1167509254,below_median_future_horizon;short_remaining_window
exposure_only,Highest OD exposure,1,New York,103,2019-06-11 01:00:00,1286,10,C,0.005619900149,0.792195122,1,1.65,1,0.003819148904,0.3156862745,1,0.9956097561,1,0.9929268293,0.1528350515,0.5234146341,0.001213359003,0.003819148904,0.1528350515,0.3539791125,0.1360233972,below_median_future_horizon;below_median_efficiency;short_remaining_window
exposure_only,Highest OD exposure,1,New York,108,2019-06-16 19:00:00,1166,11,S,0.005948312164,0.6470588235,1,1,1,0.003151545251,0.5296456696,0.8417525773,0.2985933504,1,0.9936061381,0,0.005754475703,0.003151545251,0.001977066977,0,0.2806178036,0.1540652389,below_median_future_horizon;short_remaining_window
