hidden_definition,city,event_id,event_start,unit,t,intervention,target_value,target_rank_pct,delay_feasible,active_weighted_horizon,active_future_loss_share,law_exposure_term,eta_per_cost,deficit_only_score,deficit_only_rank_pct,exposure_only_score,exposure_only_rank_pct,structure_only_score,structure_only_rank_pct,origin_exposure,destination_importance,od_scarcity,baseline_objective,recoverable_fraction
target_top5_not_any_simple_top20,Dallas,56,2019-04-18 02:00:00,36,3,R,0.01833140277,0.9558333333,1,8.376537148,1,0.00669245962,0.1397451954,0.9644808743,0.77625,0.9644808743,0.7204166667,0.01844635552,0.1320833333,0.005544088009,0.00669245962,0.01912568306,0.4273576317,0.08490103523
target_top5_not_any_simple_top20,Dallas,56,2019-04-18 02:00:00,202,3,R,0.01830435879,0.9541666667,1,8.37535981,1,0.006683172531,0.139752581,0.9617486339,0.7645833333,0.9617486339,0.7020833333,0.01313864254,0.09125,0.004191497768,0.006683172531,0.01366120219,0.4273576317,0.08490103523
target_top5_not_any_simple_top20,Dallas,58,2019-04-18 22:00:00,287,3,R,0.01826795185,0.965,1,8.386178921,1,0.006766702697,0.1396848858,0.9699453552,0.7970833333,0.9699453552,0.7566666667,0.3630669772,0.77875,0.003906269196,0.006766702697,0.3743169399,0.4339111185,0.09364614235
target_top5_not_any_simple_top20,Dallas,56,2019-04-18 02:00:00,172,3,R,0.01824487768,0.9525,1,8.372697866,1,0.006662776099,0.1397692971,0.9590163934,0.7529166667,0.9590163934,0.6833333333,0.08646869121,0.3820833333,0.005251760719,0.006662776099,0.09016393443,0.4273576317,0.08490103523
target_top5_not_any_simple_top20,Dallas,58,2019-04-18 22:00:00,36,3,R,0.01805453822,0.9558333333,1,8.376537148,1,0.00669245962,0.1397451954,0.9644808743,0.77375,0.9644808743,0.71875,0.01844635552,0.13375,0.005544088009,0.00669245962,0.01912568306,0.4339111185,0.09364614235
target_top5_not_any_simple_top20,Dallas,58,2019-04-18 22:00:00,202,3,R,0.0180279027,0.9541666667,1,8.37535981,1,0.006683172531,0.139752581,0.9617486339,0.7620833333,0.9617486339,0.7,0.01313864254,0.09125,0.004191497768,0.006683172531,0.01366120219,0.4339111185,0.09364614235
target_top5_not_any_simple_top20,Dallas,58,2019-04-18 22:00:00,172,3,R,0.01796931994,0.9525,1,8.372697866,1,0.006662776099,0.1397692971,0.9590163934,0.7475,0.9590163934,0.68125,0.08646869121,0.3879166667,0.005251760719,0.006662776099,0.09016393443,0.4339111185,0.09364614235
target_top5_not_any_simple_top20,Dallas,57,2019-04-18 12:00:00,287,2,R,0.01534057264,0.9791666667,1,9.237173887,1,0.006766702697,0.1396848858,0.9699453552,0.79875,0.9699453552,0.7558333333,0.3630669772,0.7720833333,0.003906269196,0.006766702697,0.3743169399,0.5691464883,0.06232289383
target_top5_not_any_simple_top20,Dallas,57,2019-04-18 12:00:00,36,2,R,0.01515923867,0.9775,1,9.225264069,1,0.00669245962,0.1397451954,0.9644808743,0.7720833333,0.9644808743,0.7179166667,0.01844635552,0.1345833333,0.005544088009,0.00669245962,0.01912568306,0.5691464883,0.06232289383
target_top5_not_any_simple_top20,Dallas,57,2019-04-18 12:00:00,202,2,R,0.01513661607,0.9766666667,1,9.223809941,1,0.006683172531,0.139752581,0.9617486339,0.7579166667,0.9617486339,0.6995833333,0.01313864254,0.09041666667,0.004191497768,0.006683172531,0.01366120219,0.5691464883,0.06232289383
